trial_number,value,long_entry_pct,short_entry_pct,min_edge_gap,max_hold_minutes,cooldown_minutes,min_hold_minutes,rearm_pct
147,0.005456696938565386,0.8959861385607305,0.9899951326644302,0.20247513918353738,162,96,5,0.4136145358595863
148,0.005272509397184219,0.8954357676464236,0.9836753346844975,0.08839692423459586,162,96,5,0.4150226545443614
149,0.0037304172590459,0.8830862948638839,0.9638218639544354,0.19886578800396365,165,92,8,0.42860147910938945
150,0.004488710696717475,0.8745334732088721,0.9760178321302503,0.19180199786601068,152,102,5,0.4094534707665703
151,0.00233199313446937,0.9006507658960828,0.8558192189352785,0.2037320967106082,148,94,6,0.4116959490586249
152,0.005207652763048037,0.9091726999091035,0.9893925500864081,0.2110401599644099,157,100,7,0.41814108755384516
153,0.005291588436518051,0.888950655487836,0.9807685963755767,0.185131158707114,144,97,3,0.4001063051382551
154,0.005807338628635638,0.8967307572626579,0.9895098685451396,0.21731000006848034,137,104,6,0.40750753900300635
155,0.0057528948950341255,0.8948619307704968,0.9898062028291502,0.20248781095364846,136,103,5,0.40612405348587727
156,0.005116931336473563,0.9157598934083672,0.9838296775714234,0.22450081841506736,125,104,6,0.40774916062209243
157,0.00044603916928071425,0.904446078828309,0.7655687184334392,0.21330193668044273,135,109,7,0.42339085752404837
158,0.0048640267281565945,0.8897767577925771,0.9719228701659663,0.1955991186716821,147,106,8,0.4071418530849913
159,0.004646962379053376,0.8988900776932036,0.9781431895011932,0.17377397716567505,138,111,6,0.43520563502631043
160,0.004911885865361734,0.9212563278114574,0.9841586341847013,0.2172889321886053,141,100,7,0.4160529035306487
161,0.006040027220786769,0.8958030286557307,0.9878864109404034,0.20306481051474487,152,103,5,0.40019109641324374
162,0.005644648138868842,0.9074767850729222,0.9896603496268176,0.2033503618257799,153,103,5,0.40660190073074753
163,0.005432339713286326,0.9104062469012676,0.9898285380822995,0.2063320796086526,153,103,4,0.4071003083683967
164,0.004554923285452741,0.7378618436523104,0.9845404047991329,0.19063384860109617,150,107,5,0.4186321771158048
165,0.005058255541358165,0.9033475085716139,0.980537154751615,0.19962665370296018,135,104,5,0.40827985416107915
166,0.005649569313581011,0.8945198339759894,0.9895713382459912,0.20638180415024393,145,98,5,0.40600004983028454
167,0.004862838923737018,0.8835502370222109,0.9899759117774365,0.2162605244664252,130,108,4,0.4256078354962667
168,0.005319328181880049,0.8937823157125171,0.9734778470493635,0.2088571993644835,209,102,5,0.4004578692765088
169,0.0047813125400243345,0.8859831089147597,0.9787418226262811,0.22720034468544295,145,99,6,0.413276846635333
170,0.004954960612287282,0.8784664577085668,0.9849568028088834,0.2051639560537499,140,104,4,0.4199147443992114
171,0.005261733424273338,0.9074320044051318,0.9841134167147269,0.19434063846125707,154,98,6,0.4081016909529025
172,0.006062772515694967,0.8991979452687842,0.9897137389088222,0.20075883586890433,149,101,7,0.4057484589409176
173,0.005913816747437809,0.89066264677204,0.9897239642286046,0.20242379590729043,145,106,7,0.40013365706286896
174,0.0007093595898649825,0.8910327246443746,0.7252065446255266,0.21189512750275294,145,107,7,0.4014574532802534
175,0.0055182040626908894,0.9009689593872704,0.974967197259991,0.22092301360583277,140,113,9,0.40022827640654646
176,0.004611684688977258,0.9139952727823757,0.9786449223191389,0.20204592628099033,134,105,8,0.41621865816680886
177,0.005035678225618168,0.8700292483995451,0.9899830152558436,0.1994345420175079,147,102,7,0.41255352118605254
